Company Name,Cohort,Location,CEO,LinkedIn,Website,Description
Human Computer,COHORT 001,"Bay Area, CA",Alex,https://www.linkedin.com/in/eliotgw/,https://humancomputer.io,The world's greatest triple-I game studio.
Rascal Games,COHORT 001,"Berkeley, CA",Rick,https://www.linkedin.com/in/rickling/,https://rascalgames.com,Go on adventures with your friends.
RUNREAL,COHORT 001,"Los Angeles, CA",Marwan,https://www.linkedin.com/in/marwan-hilmi/,https://runreal.dev,Accelerate Game Development.
TaleMonster Games,COHORT 001,"Istanbul, Turkey",Irem,https://www.linkedin.com/in/irem-sumer/,https://matchvalley.go.link/gyrZX,"Redefining ""casual"" mobile gaming."
Unbound Technologies,COHORT 001,"Oakland, CA",Florian,https://www.linkedin.com/in/fhoenig/,https://www.unbound.io,Bringing interactive 3D creation to everyone.
videogame.ai,COHORT 001,"San Francisco, CA",Aaron,https://www.linkedin.com/in/aaron-yuan-776312a5/,https://videogame.ai/,Fully autonomous game studio where AIs work.
Circle Games,COHORT 002,"Istanbul, Turkey",Gokturk,https://www.linkedin.com/in/gokturk-balikci/,https://circle.gs,Turning potential into perfection!
Daedalia,COHORT 002,"San Francisco, CA",Michael,https://www.linkedin.com/in/shang-michael/,https://soullink.cc,Build bonds with virtual humans.
Greathorn Games,COHORT 002,"Vancouver, Canada",Ian,https://www.linkedin.com/in/idundore/,https://greathorn.games,Socially-driven multiplayer for PC & console.
LFG,COHORT 002,"San Francisco, CA",Ross,https://www.linkedin.com/in/ross-targett/,https://lfgstudio.com,The hit factory for Gen Alpha.
Little Umbrella,COHORT 002,"Palo Alto, CA",Tabish,https://www.linkedin.com/in/taabi/,https://www.littleumbrella.gg,Social AI games for the next generation.
Refactor Games,COHORT 002,"Santa Monica, CA",Nathan,https://www.linkedin.com/in/burba/,https://refactorgames.com,Next-gen sports video games.
Torbie,COHORT 002,"Seattle, WA",Zabir,https://www.linkedin.com/in/zabirhoque/,https://PlayEverbloom.com,"Crafting worlds, connecting hearts."
2weeks,COHORT 003,"New York, NY",Brandon,https://www.linkedin.com/in/noughtceratops/,https://2weeks.games,Making breakout hits on the open web for you and your friends.
Clubs Poker,COHORT 003,"Philadelphia, PA",Jon,https://www.linkedin.com/in/kaplowitz/,https://clubspoker.com/,Largest online poker network in North America.
Edgar,COHORT 003,"New York, NY",Martin,https://linkedin.com/in/moonmartin,https://www.edgar.co,Real-money engagement in F2P via sweepstakes.
Elsewhere,COHORT 003,"San Francisco, CA",Paul,https://www.linkedin.com/in/paulsawaya/,https://elsewhere.zone,The multiplayer roguelike of your dreams.
Househunt,COHORT 003,"Austin, TX",Ankith,https://www.linkedin.com/in/nitin-rajinikanth-94404250/,https://playhousehunt.com,Monopoly with real houses.
Level Headed Games,COHORT 003,"Seattle, WA",Leah,https://www.linkedin.com/in/leah-hoyer/,https://levelheadedgames.com/,Reinventing online multiplayer for the future.
Matchday,COHORT 003,"San Francisco, CA",Derrick,https://www.linkedin.com/in/derrickk/,https://matchday.com,Interactive entertainment for 5B soccer fans.
NoMi,COHORT 003,"London, UK",Lailla,https://www.linkedin.com/in/lailla,https://www.nomi.fyi,Therapy via game mechanics.
Nilo Technologies,COHORT 003,Delaware,Nuno,https://www.linkedin.com/in/nunopleiria/,https://nunoleiria.com,Create 3D worlds in seconds.
Spekter Games,COHORT 003,"San Francisco, CA",Taehoon,https://www.linkedin.com/in/thtkim/,https://spekter.games/,Next-gen Telegram game publisher.
Voidpet,COHORT 003,"Austin, TX",Linda,https://www.linkedin.com/in/linda-sc/,https://voidpet.com/,Emotional monsters game.
Alpaka Games,COHORT 004,"Istanbul, Turkey",Can,https://www.linkedin.com/in/g%C3%B6ktu%C4%9F-can-aksoy/,https://alpakagames.co,Creating the next generation of hit Action mobile games.
Communion,COHORT 004,"Venice, CA",Jackson,https://www.linkedin.com/in/berries/,https://communion.games,Creating *Altar* — a social deduction royale.
Double Dusk,COHORT 004,Delaware (Remote),Alexander,https://www.linkedin.com/in/amist7/,https://doubledusk.com/,Character-based 2-player co-op games.
Echo Chunk,COHORT 004,"San Francisco, CA",Sami,https://www.linkedin.com/in/samiramly/,https://echochunk.com,"""Wordle for Chess"" — AI strategy games that generate themselves."
Flat2VR Studios,COHORT 004,Florida,Jasmine,https://www.linkedin.com/in/jasmineuniza/,https://flat2vrstudios.com,Bringing classic games to VR.
GG Folks,COHORT 004,"San Francisco, CA",Daniel,https://www.linkedin.com/in/capncleaver/,https://puzzlewizards.net,Cross-platform cult MMOs like Puzzle Pirates.
Incite Interactive,COHORT 004,"Redwood City, CA",Andrew,https://www.linkedin.com/in/mobile-pm/,https://incite.dev,AuraVale — agentic life simulation.
Kitbash,COHORT 004,Kansas,Riley,https://www.linkedin.com/in/rileydutton/,https://wyld.land,AI-powered remixing to unlock game dev in everyone.
Story Engine Inc.,COHORT 004,"Stanford, CA",Wan Rong,https://www.linkedin.com/in/wanrong-he/,,AI-native anime & webtoons for Gen Z.
Talofa Games,COHORT 004,"San Francisco, CA",Jenny,https://www.linkedin.com/in/xujennyc/,https://www.talofagames.com,Roblox for Fitness.
Trass Games,COHORT 004,"San Francisco, CA",Jack,https://www.linkedin.com/in/jack-southard-vr/,https://yeeps.com,Top 10 Meta Quest game *Yeeps* (Minecraft × Gorilla Tag).
VRL,COHORT 004,"Santa Monica, CA",Raj,https://linkedin.com/in/virraj,https://vrl.games,Games that go viral.
Braid,COHORT 005,"San Francisco, CA",Quinn Li,https://www.linkedin.com/in/qloshea/,https://braidhr.com,Boosting employee productivity and engagement with play!
Crater Studios,COHORT 005,"Apex, NC",Noni Amnon,https://www.linkedin.com/in/amnon-israel/,https://www.craterstudiosgames.com/,Micro-AAA game studio delivering high-quality games fast.
